id,input,output,expected,human_verdict,contexto
"demo-01","Boa noite! Culto de hoje: 340 adultos no templo, 45 crianças no kids e 6 decisões.","{""presencial"":340,""kids"":45,""decisoes"":6}","{""presencial"":340,""kids"":45,""decisoes"":6}","correto","sintetico"
"demo-02","Tivemos 512 pessoas hoje e 3 decisões, glória a Deus!","{""presencial"":512,""decisoes"":3}","{""presencial"":512,""decisoes"":3}","correto","sintetico"
"demo-03","Culto das 10h: 480 adultos, kids 62, nenhuma decisão.","{""presencial"":480,""kids"":62,""decisoes"":62}","{""presencial"":480,""kids"":62,""decisoes"":0}","incorreto","sintetico"
"demo-04","Hoje foram 95 no AMI com 2 decisões","{""presencial"":95,""decisoes"":2}","{""presencial"":95,""decisoes"":2}","correto","sintetico"
"demo-05","Presenciais: 210. Decisões: 1. Kids: 30.","{""presencial"":210,""decisoes"":1,""kids"":30}","{""presencial"":210,""decisoes"":1,""kids"":30}","correto","sintetico"
"demo-06","O culto foi maravilhoso, muita gente nova!","{""presencial"":null,""decisoes"":null}","{""presencial"":null,""decisoes"":null}","correto","sintetico · sem números — deve pedir os dados"
"demo-07","Foram umas trezentas e vinte pessoas e cinco decisões","{""presencial"":320,""decisoes"":5}","{""presencial"":320,""decisoes"":5}","correto","sintetico · números por extenso"
"demo-08","400 no templo. Ah, e das decisões: duas no presencial e uma online.","{""presencial"":400,""decisoes"":2}","{""presencial"":400,""decisoes"":2,""decisoes_online"":1}","incorreto","sintetico · perdeu a decisão online"
"demo-09","Quarta com Deus: 180 adultos, 25 kids, 0 decisões","{""presencial"":180,""kids"":25,""decisoes"":0}","{""presencial"":180,""kids"":25,""decisoes"":0}","correto","sintetico"
"demo-10","Bridge ontem: 88 presentes e 4 decisões!!","{""presencial"":88,""decisoes"":4}","{""presencial"":88,""decisoes"":4}","correto","sintetico"
"demo-11","Deu 1.050 pessoas somando os quatro cultos, 12 decisões no total","{""presencial"":1050,""decisoes"":12}","{""presencial"":1050,""decisoes"":12}","correto","sintetico · milhar com ponto"
"demo-12","Kids teve 70 crianças hoje","{""presencial"":70}","{""kids"":70}","incorreto","sintetico · confundiu kids com presencial"
"demo-13","Culto da noite: 615 adultos + 40 kids. Decisões: 7 (sendo 2 kids).","{""presencial"":615,""kids"":40,""decisoes"":7,""decisoes_kids"":2}","{""presencial"":615,""kids"":40,""decisoes"":7,""decisoes_kids"":2}","correto","sintetico"
"demo-14","Não consegui contar direito, mas acho que umas 200 pessoas","{""presencial"":200,""decisoes"":null}","{""presencial"":200,""decisoes"":null}","correto","sintetico · estimativa"
"demo-15","150","{""presencial"":150}","{""presencial"":150}","correto","sintetico · só o número — contexto pede presencial"
"demo-16","Presencial 230, decisões 3. Corrigindo: eram 4 decisões.","{""presencial"":230,""decisoes"":3}","{""presencial"":230,""decisoes"":4}","incorreto","sintetico · não aplicou a correção"
"demo-17","Culto jovem: 130 presentes, 9 decisões 🎉🎉","{""presencial"":130,""decisoes"":9}","{""presencial"":130,""decisoes"":9}","correto","sintetico · emojis"
"demo-18","Foram 45 visitantes, 380 adultos e 2 decisões","{""presencial"":380,""visitantes"":45,""decisoes"":2}","{""presencial"":380,""visitantes"":45,""decisoes"":2}","correto","sintetico"
"demo-19","O louvor durou 25 minutos e a pregação 40","{""presencial"":25,""decisoes"":40}","{""presencial"":null,""decisoes"":null}","incorreto","sintetico · números que não são frequência"
"demo-20","Domingo 19h: oitocentos e dois presentes, uma decisão","{""presencial"":802,""decisoes"":1}","{""presencial"":802,""decisoes"":1}","correto","sintetico · por extenso composto"
"demo-21","Tivemos 320 no primeiro culto e 410 no segundo, 5 decisões em cada","{""presencial"":730,""decisoes"":10}","{""presencial"":null,""decisoes"":null}","incorreto","sintetico · dois cultos — deve pedir pra separar e não somar sozinho"
"demo-22","kids 55 / adultos 505 / decisões 8","{""presencial"":505,""kids"":55,""decisoes"":8}","{""presencial"":505,""kids"":55,""decisoes"":8}","correto","sintetico · formato telegráfico"
"demo-23","Zero decisão hoje, 275 pessoas","{""presencial"":275,""decisoes"":0}","{""presencial"":275,""decisoes"":0}","correto","sintetico"
"demo-24","No culto de hoje 390 adultos... esqueci de contar o kids, depois mando","{""presencial"":390,""kids"":null}","{""presencial"":390,""kids"":null}","correto","sintetico · dado parcial multi-turno"
